"REF_DATE","GEO","DGUID","Airports","Domestic and international itinerant movements","Type of operation","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2020-01","Canada","2016A000011124","Edmonton/Villeneuve, Alberta","Other international movements","Total itinerant movements","Number","223","units","0","v32859040","1.9.3.1","0","","","","0"
"2020-02","Canada","2016A000011124","Edmonton/Villeneuve, Alberta","Other international movements","Total itinerant movements","Number","223","units","0","v32859040","1.9.3.1","0","","","","0"
"2020-03","Canada","2016A000011124","Edmonton/Villeneuve, Alberta","Other international movements","Total itinerant movements","Number","223","units","0","v32859040","1.9.3.1","0","","","","0"
"2020-04","Canada","2016A000011124","Edmonton/Villeneuve, Alberta","Other international movements","Total itinerant movements","Number","223","units","0","v32859040","1.9.3.1","0","","","","0"
"2020-05","Canada","2016A000011124","Edmonton/Villeneuve, Alberta","Other international movements","Total itinerant movements","Number","223","units","0","v32859040","1.9.3.1","0","","","","0"
"2020-06","Canada","2016A000011124","Edmonton/Villeneuve, Alberta","Other international movements","Total itinerant movements","Number","223","units","0","v32859040","1.9.3.1","0","","","","0"
"2020-01","Canada","2016A000011124","Fort McMurray, Alberta","Domestic movements","Total itinerant movements","Number","223","units","0","v44179379","1.46.1.1","2038","","","","0"
"2020-02","Canada","2016A000011124","Fort McMurray, Alberta","Domestic movements","Total itinerant movements","Number","223","units","0","v44179379","1.46.1.1","1992","","","","0"
"2020-03","Canada","2016A000011124","Fort McMurray, Alberta","Domestic movements","Total itinerant movements","Number","223","units","0","v44179379","1.46.1.1","1916","","","","0"
"2020-04","Canada","2016A000011124","Fort McMurray, Alberta","Domestic movements","Total itinerant movements","Number","223","units","0","v44179379","1.46.1.1","1269","","","","0"
"2020-05","Canada","2016A000011124","Fort McMurray, Alberta","Domestic movements","Total itinerant movements","Number","223","units","0","v44179379","1.46.1.1","1748","","","","0"
"2020-06","Canada","2016A000011124","Fort McMurray, Alberta","Domestic movements","Total itinerant movements","Number","223","units","0","v44179379","1.46.1.1","2654","","","","0"
"2020-01","Canada","2016A000011124","Fort McMurray, Alberta","Transborder movements","Total itinerant movements","Number","223","units","0","v44179380","1.46.2.1","5","","","","0"
"2020-02","Canada","2016A000011124","Fort McMurray, Alberta","Transborder movements","Total itinerant movements","Number","223","units","0","v44179380","1.46.2.1","5","","","","0"
"2020-03","Canada","2016A000011124","Fort McMurray, Alberta","Transborder movements","Total itinerant movements","Number","223","units","0","v44179380","1.46.2.1","0","","","","0"
"2020-04","Canada","2016A000011124","Fort McMurray, Alberta","Transborder movements","Total itinerant movements","Number","223","units","0","v44179380","1.46.2.1","0","","","","0"
"2020-05","Canada","2016A000011124","Fort McMurray, Alberta","Transborder movements","Total itinerant movements","Number","223","units","0","v44179380","1.46.2.1","0","","","","0"
"2020-06","Canada","2016A000011124","Fort McMurray, Alberta","Transborder movements","Total itinerant movements","Number","223","units","0","v44179380","1.46.2.1","2","","","","0"
"2020-01","Canada","2016A000011124","Fort McMurray, Alberta","Other international movements","Total itinerant movements","Number","223","units","0","v44179381","1.46.3.1","0","","","","0"
"2020-02","Canada","2016A000011124","Fort McMurray, Alberta","Other international movements","Total itinerant movements","Number","223","units","0","v44179381","1.46.3.1","0","","","","0"
"2020-03","Canada","2016A000011124","Fort McMurray, Alberta","Other international movements","Total itinerant movements","Number","223","units","0","v44179381","1.46.3.1","0","","","","0"
"2020-04","Canada","2016A000011124","Fort McMurray, Alberta","Other international movements","Total itinerant movements","Number","223","units","0","v44179381","1.46.3.1","0","","","","0"
"2020-05","Canada","2016A000011124","Fort McMurray, Alberta","Other international movements","Total itinerant movements","Number","223","units","0","v44179381","1.46.3.1","0","","","","0"
"2020-06","Canada","2016A000011124","Fort McMurray, Alberta","Other international movements","Total itinerant movements","Number","223","units","0","v44179381","1.46.3.1","0","","","","0"
"2020-01","Canada","2016A000011124","Fredericton International, New Brunswick","Domestic movements","Total itinerant movements","Number","223","units","0","v52309864","1.47.1.1","3723","","","","0"
"2020-02","Canada","2016A000011124","Fredericton International, New Brunswick","Domestic movements","Total itinerant movements","Number","223","units","0","v52309864","1.47.1.1","4068","","","","0"
"2020-03","Canada","2016A000011124","Fredericton International, New Brunswick","Domestic movements","Total itinerant movements","Number","223","units","0","v52309864","1.47.1.1","3292","","","","0"
"2020-04","Canada","2016A000011124","Fredericton International, New Brunswick","Domestic movements","Total itinerant movements","Number","223","units","0","v52309864","1.47.1.1","508","","","","0"
"2020-05","Canada","2016A000011124","Fredericton International, New Brunswick","Domestic movements","Total itinerant movements","Number","223","units","0","v52309864","1.47.1.1","3209","","","","0"
"2020-06","Canada","2016A000011124","Fredericton International, New Brunswick","Domestic movements","Total itinerant movements","Number","223","units","0","v52309864","1.47.1.1","4249","","","","0"
"2020-01","Canada","2016A000011124","Fredericton International, New Brunswick","Transborder movements","Total itinerant movements","Number","223","units","0","v52309865","1.47.2.1","11","","","","0"
"2020-02","Canada","2016A000011124","Fredericton International, New Brunswick","Transborder movements","Total itinerant movements","Number","223","units","0","v52309865","1.47.2.1","8","","","","0"
"2020-03","Canada","2016A000011124","Fredericton International, New Brunswick","Transborder movements","Total itinerant movements","Number","223","units","0","v52309865","1.47.2.1","12","","","","0"
